"Start Name","End Name","Start Point","End Point","Distance","Route"
"N_26","N_40","POINT (-97.57142857 42)","POINT (-98.38235294 44.93529412)","207.57012145822497","MULTILINESTRING ((-97.57142857 42.0000000823485, -97.64944915015076 42.29313858846669), (-97.64944915015076 42.29313858846669, -97.72812958007395 42.58633986131361), (-97.72812958007395 42.58633986131361, -97.80747815697272 42.87961267546045), (-97.80747815697272 42.87961267546045, -97.88750331584227 43.17296594906777), (-97.88750331584227 43.17296594906777, -97.9682136323004 43.466408749472166), (-97.9682136323004 43.466408749472166, -98.04961782548718 43.759950298991185), (-98.04961782548718 43.759950298991185, -98.13172476103526 44.05359998095847), (-98.13172476103526 44.05359998095847, -98.21454345411325 44.34736734600155), (-98.21454345411325 44.34736734600155, -98.29808307254405 44.641262118573806), (-98.29808307254405 44.641262118573806, -98.38235294000002 44.93529420375579))"
"N_26","N_80","POINT (-97.57142857 42)","POINT (-100.53125 42.809375)","160.5819088514718","MULTILINESTRING ((-97.57142857 42.0000000823485, -97.86428957646729 42.08391883115882), (-97.86428957646729 42.08391883115882, -98.1578527408108 42.16718141160081), (-98.1578527408108 42.16718141160081, -98.45211496865674 42.24978544977972), (-98.45211496865674 42.24978544977972, -98.74707309725811 42.3317285711402), (-98.74707309725811 42.3317285711402, -99.0427238952624 42.41300840084043), (-99.0427238952624 42.41300840084043, -99.33906406249197 42.49362256413072), (-99.33906406249197 42.49362256413072, -99.63609022973705 42.57356868673658), (-99.63609022973705 42.57356868673658, -99.93379895856145 42.65284439524604), (-99.93379895856145 42.65284439524604, -100.23218674112184 42.731447317501534), (-100.23218674112184 42.731447317501534, -100.53125 42.80937508299587))"
"N_26","N_82","POINT (-97.57142857 42)","POINT (-100.3918919 39.86216216)","208.67748139303532","MULTILINESTRING ((-97.57142857 42.0000000823485, -97.86119321158293 41.78887733405777), (-97.86119321158293 41.78887733405777, -98.14921485379413 41.57715598914782), (-98.14921485379413 41.57715598914782, -98.4355039325723 41.364838904057066), (-98.4355039325723 41.364838904057066, -98.72007088447337 41.15192885666112), (-98.72007088447337 41.15192885666112, -99.00292614440683 40.93842854713295), (-99.00292614440683 40.93842854713295, -99.28408014343972 40.72434059878857), (-99.28408014343972 40.72434059878857, -99.56354330666731 40.509667558918764), (-99.56354330666731 40.509667558918764, -99.84132605114921 40.29441189960513), (-99.84132605114921 40.29441189960513, -100.11743878390956 40.078576018522476), (-100.11743878390956 40.078576018522476, -100.3918919 39.86216223972557))"
"N_26","N_34","POINT (-97.57142857 42)","POINT (-94.71428571 41.41428571)","152.20594204008063","MULTILINESTRING ((-97.57142857 42.0000000823485, -97.28359153029767 41.944275556852446), (-97.28359153029767 41.944275556852446, -96.99621540373317 41.88791406575982), (-96.99621540373317 41.88791406575982, -96.70930432711594 41.83091721372579), (-96.70930432711594 41.83091721372579, -96.42286238996795 41.77328661460238), (-96.42286238996795 41.77328661460238, -96.13689363435243 41.715023891145506), (-96.13689363435243 41.715023891145506, -95.85140205471313 41.65613067472221), (-95.85140205471313 41.65613067472221, -95.56639159772423 41.596608605018616), (-95.56639159772423 41.596608605018616, -95.28186616215078 41.53645932974856), (-95.28186616215078 41.53645932974856, -94.99782959871948 41.47568450436291), (-94.99782959871948 41.47568450436291, -94.71428571000001 41.4142857917597))"
"N_26","N_20","POINT (-97.57142857 42)","POINT (-97.64705882 38.87647059)","217.42129299258227","MULTILINESTRING ((-97.57142857 42.0000000823485, -97.57929483068081 41.68730952207762), (-97.57929483068081 41.68730952207762, -97.58709131498014 41.37472221138441), (-97.58709131498014 41.37472221138441, -97.59481894710495 41.06222726246289), (-97.59481894710495 41.06222726246289, -97.60247863501392 40.74981396961519), (-97.60247863501392 40.74981396961519, -97.61007127077296 40.437471802091025), (-97.61007127077296 40.437471802091025, -97.61759773090128 40.12519039720126), (-97.61759773090128 40.12519039720126, -97.62505887670875 39.81295955369193), (-97.62505887670875 39.81295955369193, -97.63245555462406 39.50076922536437), (-97.63245555462406 39.50076922536437, -97.63978859651502 39.1886095149306), (-97.63978859651502 39.1886095149306, -97.64705882 38.876470668091294))"
"N_27","N_92","POINT (-109.4677419 42.53870968)","POINT (-106.6764706 41.7)","153.89800843324937","MULTILINESTRING ((-109.4677419 42.53870976280105, -109.18560989338287 42.45752190844331), (-109.18560989338287 42.45752190844331, -108.9041389756897 42.37573209324264), (-108.9041389756897 42.37573209324264, -108.62333174698553 42.29334246357602), (-108.62333174698553 42.29334246357602, -108.34319074873174 42.210355163958404), (-108.34319074873174 42.210355163958404, -108.06371846403103 42.12677233674808), (-108.06371846403103 42.12677233674808, -107.78491731788108 42.04259612185597), (-107.78491731788108 42.04259612185597, -107.50678967743708 41.95782865645822), (-107.50678967743708 41.95782865645822, -107.22933785228258 41.8724720747135), (-107.22933785228258 41.8724720747135, -106.9525640947084 41.78652850748388), (-106.9525640947084 41.78652850748388, -106.67647060000002 41.700000082059454))"
"N_27","N_10","POINT (-109.4677419 42.53870968)","POINT (-111.0862069 45.30344828)","242.21410737886916","MULTILINESTRING ((-109.4677419 42.53870976280105, -110.00342243840079 42.700922639906004), (-110.00342243840079 42.700922639906004, -110.16196426117322 42.97708251638363), (-110.16196426117322 42.97708251638363, -110.70266788949749 43.136529516009595), (-110.70266788949749 43.136529516009595, -110.86502838771416 43.41201889569389), (-110.86502838771416 43.41201889569389, -111.02869766140866 43.687435687210254), (-111.02869766140866 43.687435687210254, -111.19369061676947 43.962785463174626), (-111.19369061676947 43.962785463174626, -111.36002237014917 44.23807386220413), (-111.36002237014917 44.23807386220413, -111.14048197673222 44.63263444263071), (-111.14048197673222 44.63263444263071, -111.30825294793114 44.90837882826187), (-111.30825294793114 44.90837882826187, -111.0862069 45.30344836374733))"
"N_27","N_41","POINT (-109.4677419 42.53870968)","POINT (-111.5166667 40.93333333)","153.32671660572115","MULTILINESTRING ((-109.4677419 42.53870976280105, -109.67688270848498 42.37951939957503), (-109.67688270848498 42.37951939957503, -109.88506731617508 42.22002709533322), (-109.88506731617508 42.22002709533322, -110.09230028131338 42.06023384452366), (-110.09230028131338 42.06023384452366, -110.29858615676817 41.90014061893629), (-110.29858615676817 41.90014061893629, -110.50392948958886 41.73974836790705), (-110.50392948958886 41.73974836790705, -110.70833482057341 41.57905801851913), (-110.70833482057341 41.57905801851913, -110.91180668384682 41.41807047580071), (-110.91180668384682 41.41807047580071, -111.11434960644999 41.25678662292071), (-111.11434960644999 41.25678662292071, -111.31596810793997 41.09520732138017), (-111.31596810793997 41.09520732138017, -111.5166667 40.93333341120198))"
"N_27","N_88","POINT (-109.4677419 42.53870968)","POINT (-108.2096774 44.90967742)","190.49478399722113","MULTILINESTRING ((-109.4677419 42.53870976280105, -109.34581188101947 42.77590622062626), (-109.34581188101947 42.77590622062626, -108.89671208237687 42.923260877886456), (-108.89671208237687 42.923260877886456, -108.77213420743124 43.16005303502904), (-108.77213420743124 43.16005303502904, -108.64669641297738 43.396816160653344), (-108.64669641297738 43.396816160653344, -108.52039020621757 43.633554080165304), (-108.52039020621757 43.633554080165304, -108.39320698862674 43.87027066148058), (-108.39320698862674 43.87027066148058, -108.26513805442303 44.10696981645119), (-108.26513805442303 44.10696981645119, -108.13617458901464 44.343655502335245), (-108.13617458901464 44.343655502335245, -108.00630766742252 44.58033172330992), (-108.00630766742252 44.58033172330992, -108.20967740000002 44.90967750375482))"
"N_27","N_46","POINT (-109.4677419 42.53870968)","POINT (-108.6891892 39.28108108)","249.28472193686687","MULTILINESTRING ((-109.4677419 42.53870976280105, -108.94177788396368 42.271176479866654), (-108.94177788396368 42.271176479866654, -108.86340610296544 41.94496830100699), (-108.86340610296544 41.94496830100699, -108.78576190756942 41.618835753799914), (-108.78576190756942 41.618835753799914, -108.70883531471479 41.29276700601277), (-108.70883531471479 41.29276700601277, -108.63261652126037 40.96675042473982), (-108.63261652126037 40.96675042473982, -108.55709589999265 40.64077456811086), (-108.55709589999265 40.64077456811086, -108.48226399573875 40.3148281773274), (-108.48226399573875 40.3148281773274, -108.40811152158061 39.988900169007614), (-108.40811152158061 39.988900169007614, -108.763883199877 39.60674647424913), (-108.763883199877 39.60674647424913, -108.6891892 39.28108115879323))"
"N_27","N_74","POINT (-109.4677419 42.53870968)","POINT (-112.8709677 43.42580645)","182.22913411977922","MULTILINESTRING ((-109.4677419 42.53870976280105, -109.80409486944045 42.63132555525467), (-109.80409486944045 42.63132555525467, -110.14134370420628 42.723082686586736), (-110.14134370420628 42.723082686586736, -110.47948346004621 42.81397764125932), (-110.47948346004621 42.81397764125932, -110.81850907632048 42.90400690502151), (-110.81850907632048 42.90400690502151, -111.15841537564978 42.99316696565864), (-111.15841537564978 42.99316696565864, -111.49919706359283 43.081454313751046), (-111.49919706359283 43.081454313751046, -111.84084872835419 43.16886544344195), (-111.84084872835419 43.16886544344195, -112.18336484052251 43.255396853214386), (-112.18336484052251 43.255396853214386, -112.5267397528393 43.34104504667677), (-112.5267397528393 43.34104504667677, -112.8709677 43.42580653335742))"
"N_28","N_3","POINT (-111.3125 35.215625)","POINT (-109.9189189 32.79459459)","201.31693519590934","MULTILINESTRING ((-111.31250000000004 35.21562506995756, -111.16920210498502 34.974596690400084), (-111.16920210498502 34.974596690400084, -110.72910975415277 34.84822614890779), (-110.72910975415277 34.84822614890779, -110.58831626724265 34.60640153767048), (-110.58831626724265 34.60640153767048, -110.44840126453055 34.364343271496864), (-110.44840126453055 34.364343271496864, -110.30935715052308 34.122049005437155), (-110.30935715052308 34.122049005437155, -110.17117640907291 33.87951638713596), (-110.17117640907291 33.87951638713596, -110.03385160248064 33.63674305649821), (-110.03385160248064 33.63674305649821, -110.19077074053351 33.280754521164035), (-110.19077074053351 33.280754521164035, -110.05442678917815 33.03780020199415), (-110.05442678917815 33.03780020199415, -109.91891890000002 32.79459465312236))"
"N_28","N_59","POINT (-111.3125 35.215625)","POINT (-113.4027778 33.45)","184.73506711627184","MULTILINESTRING ((-111.31250000000004 35.21562506995756, -111.52583467595763 35.04092311137448), (-111.52583467595763 35.04092311137448, -111.7382003291275 34.865805256100266), (-111.7382003291275 34.865805256100266, -112.16636736060303 34.86143709874376), (-112.16636736060303 34.86143709874376, -112.37677997772313 34.68513313661288), (-112.37677997772313 34.68513313661288, -112.58623291452761 34.50841837141265), (-112.58623291452761 34.50841837141265, -112.79473070063919 34.331293680878005), (-112.79473070063919 34.331293680878005, -113.00227786124366 34.153759914835796), (-113.00227786124366 34.153759914835796, -113.20887891663013 33.975817895345656), (-113.20887891663013 33.975817895345656, -113.19800328456594 33.62841270049743), (-113.19800328456594 33.62841270049743, -113.40277780000002 33.45000006506465))"
"N_28","N_13","POINT (-111.3125 35.215625)","POINT (-111.4305556 37.83888889)","197.83399205543225","MULTILINESTRING ((-111.31250000000004 35.21562506995756, -111.32394034869952 35.478167341033675), (-111.32394034869952 35.478167341033675, -111.33545961699163 35.74064812516508), (-111.33545961699163 35.74064812516508, -111.34705862398384 36.003072412099584), (-111.34705862398384 36.003072412099584, -111.35873820015364 36.26544523398764), (-111.35873820015364 36.26544523398764, -111.37049918754626 36.52777166702727), (-111.37049918754626 36.52777166702727, -111.38234243997684 36.79005683315081), (-111.38234243997684 36.79005683315081, -111.39426882323662 37.05230590175661), (-111.39426882323662 37.05230590175661, -111.07153526993424 37.32350430031856), (-111.07153526993424 37.32350430031856, -111.41837450655761 37.57671667204954), (-111.41837450655761 37.57671667204954, -111.43055560000002 37.838888966100804))"
"N_28","N_89","POINT (-111.3125 35.215625)","POINT (-114.6923077 36.55897436)","262.0005717258142","MULTILINESTRING ((-111.31250000000004 35.21562506995756, -111.47278924629548 35.622383477657884), (-111.47278924629548 35.622383477657884, -111.80744451981661 35.76057316897738), (-111.80744451981661 35.76057316897738, -112.31387025065796 35.628829381355516), (-112.31387025065796 35.628829381355516, -112.81853372941828 35.494914181733485), (-112.81853372941828 35.494914181733485, -113.32141582478629 35.35883749857815), (-113.32141582478629 35.35883749857815, -113.65818738569453 35.49181267304877), (-113.65818738569453 35.49181267304877, -113.99612964618437 35.62381031430087), (-113.99612964618437 35.62381031430087, -114.17160732187043 36.02661842468152), (-114.17160732187043 36.02661842468152, -114.34895934594967 36.429047956758886), (-114.34895934594967 36.429047956758886, -114.69230770000001 36.558974433290096))"
"N_28","N_31","POINT (-111.3125 35.215625)","POINT (-108.0609756 36.05365854)","190.4983320192139","MULTILINESTRING ((-111.31250000000004 35.21562506995756, -110.99059703011928 35.30345324047875), (-110.99059703011928 35.30345324047875, -110.6679583674329 35.39039395544583), (-110.6679583674329 35.39039395544583, -110.34458894989214 35.476444598516814), (-110.34458894989214 35.476444598516814, -110.02049380552708 35.56160255882144), (-110.02049380552708 35.56160255882144, -109.69567805248315 35.645865231548996), (-109.69567805248315 35.645865231548996, -109.37014689903467 35.72923001853952), (-109.37014689903467 35.72923001853952, -109.04390564357547 35.811694328878076), (-109.04390564357547 35.811694328878076, -108.71695967458562 35.89325557949246), (-108.71695967458562 35.89325557949246, -108.38931447057453 35.97391119575385), (-108.38931447057453 35.97391119575385, -108.0609756 36.05365861207995))"
"N_65","N_53","POINT (-96.07317073 30.34634146)","POINT (-100.0512821 30.67435897)","237.83557036170174","MULTILINESTRING ((-96.07317073 30.34634151541138, -96.4694674185684 30.385605325186916), (-96.4694674185684 30.385605325186916, -96.8661364916531 30.42343716560551), (-96.8661364916531 30.42343716560551, -97.26316463356251 30.459835421025677), (-97.26316463356251 30.459835421025677, -97.66053845435349 30.49479853175067), (-97.66053845435349 30.49479853175067, -98.05824449240808 30.528324994694664), (-98.05824449240808 30.528324994694664, -98.45626921704701 30.560413364024967), (-98.45626921704701 30.560413364024967, -98.85459903117867 30.591062251782212), (-98.85459903117867 30.591062251782212, -99.25322027398197 30.620270328476927), (-99.25322027398197 30.620270328476927, -99.65211922362252 30.648036323661415), (-99.65211922362252 30.648036323661415, -100.0512821 30.67435902647825))"
"N_65","N_85","POINT (-96.07317073 30.34634146)","POINT (-98.35714286 28.02857143)","210.9938037604147","MULTILINESTRING ((-96.07317073 30.34634151541138, -96.30732088172365 30.117322568359402), (-96.30732088172365 30.117322568359402, -96.54017135147816 29.887689697108264), (-96.54017135147816 29.887689697108264, -96.77173015773626 29.657443388557777), (-96.77173015773626 29.657443388557777, -97.0020052916092 29.426584070316313), (-97.0020052916092 29.426584070316313, -97.23100471615261 29.195112110889028), (-97.23100471615261 29.195112110889028, -97.45873636569864 28.96302781985391), (-97.45873636569864 28.96302781985391, -97.68520814521426 28.730331448027748), (-97.68520814521426 28.730331448027748, -97.9104279296849 28.497023187619337), (-97.9104279296849 28.497023187619337, -98.13440356352287 28.263103172372862), (-98.13440356352287 28.263103172372862, -98.35714286000001 28.028571477697916))"
"N_65","N_87","POINT (-96.07317073 30.34634146)","POINT (-98.01282051 33.11025641)","222.49317435006068","MULTILINESTRING ((-96.07317073 30.34634151541138, -96.26121574540764 30.624886908002242), (-96.26121574540764 30.624886908002242, -96.45054461620437 30.902947360482106), (-96.45054461620437 30.902947360482106, -96.64116901708502 31.1805253195628), (-96.64116901708502 31.1805253195628, -96.83310074136254 31.457623182892892), (-96.83310074136254 31.457623182892892, -97.02635170200281 31.734243299214047), (-97.02635170200281 31.734243299214047, -97.22093393265737 32.01038796849901), (-97.22093393265737 32.01038796849901, -97.41685958869297 32.28605944207207), (-97.41685958869297 32.28605944207207, -97.61414094821762 32.561259922711734), (-97.61414094821762 32.561259922711734, -97.81279041310273 32.83599156473525), (-97.81279041310273 32.83599156473525, -98.01282051 33.11025647406549))"
"N_65","N_75","POINT (-96.07317073 30.34634146)","POINT (-91.82894737 30.98947368)","255.98456612306597","MULTILINESTRING ((-96.07317073 30.34634151541138, -95.65184503240917 30.418011615622497), (-95.65184503240917 30.418011615622497, -95.22979097741279 30.488055475427203), (-95.22979097741279 30.488055475427203, -94.8070233661014 30.556469759460366), (-94.8070233661014 30.556469759460366, -94.38355716261938 30.623251189020813), (-94.38355716261938 30.623251189020813, -93.95940749156688 30.68839654360702), (-93.95940749156688 30.68839654360702, -93.53458963531413 30.751902662433203), (-93.53458963531413 30.751902662433203, -93.1091190312289 30.813766445923186), (-93.1091190312289 30.813766445923186, -92.68301126881818 30.87398485718208), (-92.68301126881818 30.87398485718208, -92.25628208678475 30.93255492344388), (-92.25628208678475 30.93255492344388, -91.82894737 30.98947373749486))"
"N_65","N_32","POINT (-96.07317073 30.34634146)","POINT (-94.48684211 32.85789474)","197.1355525785003","MULTILINESTRING ((-96.07317073 30.34634151541138, -95.91893321848501 30.599050570753203), (-95.91893321848501 30.599050570753203, -95.76374082981663 30.851408583709112), (-95.76374082981663 30.851408583709112, -95.6075855045332 31.10341776097147), (-95.6075855045332 31.10341776097147, -95.45045910364826 31.355080284403503), (-95.45045910364826 31.355080284403503, -95.29235340787102 31.60639831125445), (-95.29235340787102 31.60639831125445, -95.13326011682253 31.857373974368535), (-95.13326011682253 31.857373974368535, -94.97317084824758 32.10800938238727), (-94.97317084824758 32.10800938238727, -94.81207713722227 32.35830661994526), (-94.81207713722227 32.35830661994526, -94.64997043535777 32.608267747859536), (-94.64997043535777 32.608267747859536, -94.48684211 32.85789480331259))"
"N_21","N_58","POINT (-117.8030303 37.15454545)","POINT (-119.8783784 40.09189189)","252.11249600641253","MULTILINESTRING ((-117.80303030000002 37.15454552464475, -117.62493927106821 37.6063814484088), (-117.62493927106821 37.6063814484088, -117.82559145765622 37.901944127765475), (-117.82559145765622 37.901944127765475, -118.02785525191156 38.197159222728075), (-118.02785525191156 38.197159222728075, -118.23174829367727 38.492030565753375), (-118.23174829367727 38.492030565753375, -118.43728844812077 38.78656197216435), (-118.43728844812077 38.78656197216435, -118.6444938085742 39.08075724090593), (-118.6444938085742 39.08075724090593, -118.85338269939427 39.37462015530338), (-118.85338269939427 39.37462015530338, -119.06397367884088 39.66815448382391), (-119.06397367884088 39.66815448382391, -119.66323123871472 39.79968743074534), (-119.66323123871472 39.79968743074534, -119.87837840000002 40.091891970068986))"
"N_21","N_89","POINT (-117.8030303 37.15454545)","POINT (-114.6923077 36.55897436)","226.51190099022398","MULTILINESTRING ((-117.80303030000002 37.15454552464475, -117.41783432787912 37.34454313706999), (-117.41783432787912 37.34454313706999, -117.10406436437707 37.28762324782296), (-117.10406436437707 37.28762324782296, -116.8646587659138 36.98433322840417), (-116.8646587659138 36.98433322840417, -116.62718866170636 36.68053080497466), (-116.62718866170636 36.68053080497466, -116.3168050117106 36.62155458732702), (-116.3168050117106 36.62155458732702, -116.00691135500195 36.56177587532845), (-116.00691135500195 36.56177587532845, -115.69751310695645 36.50119643373857), (-115.69751310695645 36.50119643373857, -115.38861562364254 36.43981804095618), (-115.38861562364254 36.43981804095618, -115.15881542583351 36.13305492282035), (-115.15881542583351 36.13305492282035, -114.69230770000001 36.558974433290096))"
