IGRP,PLANT_NAME,SITE_NAME,PLANT_CODE,EMM_REGION,FuelRegion,STATE,LAT,LON,UNIT_ID,ECPT,SCAP,HeatRate,CF,R_CO2,CO2_EMIS,CAP_COST,VAR_COST,ACTIVE,SOURCE_TYPE,OGSM_Region
5585,Ebensburg Power,CAP_GEN_P10603,10603,10,3,PA,40.45,-78.74,GEN1,B3,50,15014,0.6,0.9,0.6,141.23,10,,GEN,1
5589,CH Resources Beaver,CAP_GEN_P10617,10617,9,2,NY,43.88,-75.43,GEN1,EC,80.3,9799,6.00E-03,0.9,0.36,103.92,4.06,,GEN,1
5590,Carthage Energy LLC,CAP_GEN_P10620,10620,9,2,NY,43.98,-75.62,GEN1,EC,40.1,9847,0.01,0.9,0.18,105.55,4.77,,GEN,1
5591,Carthage Energy LLC,CAP_GEN_P10620,10620,9,2,NY,43.98,-75.62,GEN2,EC,21,9847,0.01,0.9,0.09,58.33,4.77,,GEN,1
5592,CH Resources Syracus,CAP_GEN_P10621,10621,9,2,NY,43.06,-76.21,GEN1,EC,88.4,8815,0.02,0.9,0.36,119.24,4.11,,GEN,1
5596,Hopewell Cogeneratio,CAP_GEN_P10633,10633,13,12,VA,37.29,-77.28,GT1,EC,282.3,9333,0.28,0.9,1.22,116.91,2.28,,GEN,1
5597,Hopewell Cogeneratio,CAP_GEN_P10633,10633,13,12,VA,37.29,-77.28,ST1,EC,96,9333,0.28,0.9,0.41,133.61,2.28,,GEN,1
5611,River Valley,CAP_GEN_P10671,10671,17,18,OK,35.19,-94.64,GEN1,B3,161,11789,0.5,0.9,1.53,462.56,9.92,,GEN,3
5612,River Valley,CAP_GEN_P10671,10671,17,18,OK,35.19,-94.64,GEN2,B3,160,11966,0.5,0.9,1.54,462.56,9.92,,GEN,3
5617,CES Placerita Power,CAP_GEN_P10677,10677,22,23,CA,34.38,-118.5,UNT2,EC,69,9633,0,0.9,0.3,118.8,4.27,,GEN,6
5618,AES Warrior Run Coge,CAP_GEN_P10678,10678,10,10,MD,39.59,-78.74,GEN1,B3,180,11365,0.79,0.9,1.65,494.04,9.61,,GEN,1
1184,Walter Scott Jr Ener,CAP_GEN_P1082,1082,3,8,IA,41.18,-95.84,4,B7,811.13,9885,0.5,0.9,6.48,1152.58,6.58,,GEN,3
1201,George Neal North,CAP_GEN_P1091,1091,3,8,IA,42.3,-96.36,3,B7,513.89,10491,0.5,0.9,4.36,1868.09,7,,GEN,3
1206,Burlington (IA),CAP_GEN_P1104,1104,3,8,IA,40.74,-91.11,1,C1,191.2,10831,0.62,0.9,1.67,577.06,9.27,,GEN,3
87,Cholla,CAP_GEN_P113,113,20,21,AZ,34.93,-110.3,1,B3,116,10724,0.5,0.9,1,384.33,10.87,,GEN,5
90,Cholla,CAP_GEN_P113,113,20,21,AZ,34.93,-110.3,3,B3,271,11048,0.5,0.9,2.42,654.67,8.42,,GEN,5
1270,Muscatine Plant #1,CAP_GEN_P1167,1167,3,8,IA,41.39,-91.05,7,C1,20.1,8800,0.5,0.9,0.14,69.34,10,,GEN,3
1271,Muscatine Plant #1,CAP_GEN_P1167,1167,3,8,IA,41.39,-91.05,8,C1,25.1,8800,0.5,0.9,0.17,82.77,10,,GEN,3
1272,Muscatine Plant #1,CAP_GEN_P1167,1167,3,8,IA,41.39,-91.05,8A,C1,14.5,8800,0.74,0.9,0.1,53.27,10,,GEN,3
