"ID","x1","x2","optional","Type"
94,-116.681818181818,39.7303030303031,TRUE,"Equal Area"
95,-69.0606060606061,45.5636363636364,TRUE,"Equal Area"
96,-82.015625,33.075,TRUE,"Equal Area"
97,-154.27027027027,59.3216216216216,TRUE,"Equal Area"
98,-102.057142857143,45.0142857142857,TRUE,"Equal Area"
99,-142.793103448276,68.6655172413793,TRUE,"Equal Area"
100,-112.870967741935,43.4258064516129,TRUE,"Equal Area"
101,-91.8289473684211,30.9894736842105,TRUE,"Equal Area"
102,-148.888888888889,63.2972222222222,TRUE,"Equal Area"
103,-120.3625,36.6125,TRUE,"Equal Area"
104,-160.513157894737,69.028947368421,TRUE,"Equal Area"
105,-116.934210526316,34.2,TRUE,"Equal Area"
106,-106.487179487179,33.2384615384616,TRUE,"Equal Area"
