"IGRP","PLANT_NAME","SITE_NAME","PLANT_CODE","EMM_REGION","FuelRegion","STATE","LAT","LON","UNIT_ID","ECPT","SCAP","HeatRate","CF","R_CO2","CO2_EMIS","CAP_COST","VAR_COST","ACTIVE","SOURCE_TYPE","HR_ADJ"
1505.00,"Mill Creek (KY)","CAP_GEN_P1364",1364.00,16.00,16.00,"KY",38.05,-85.91,"2","C4",297.00,10782.00,0.54,0.90,2.59,680.50,8.27,,"GEN",
1507.00,"Mill Creek (KY)","CAP_GEN_P1364",1364.00,16.00,16.00,"KY",38.05,-85.91,"3","C7",391.00,10490.00,0.62,0.90,3.31,796.81,7.70,,"GEN",
1509.00,"Mill Creek (KY)","CAP_GEN_P1364",1364.00,16.00,16.00,"KY",38.05,-85.91,"4","C7",477.00,10394.00,0.65,0.90,4.01,910.98,7.26,,"GEN",
1523.00,"Paradise","CAP_GEN_P1378",1378.00,16.00,16.00,"KY",37.26,-86.97,"CTG2","EC",1100.00,7050.00,0.60,0.90,3.60,1013.04,10.00,,"GEN",
1524.00,"Shawnee","CAP_GEN_P1379",1379.00,16.00,16.00,"KY",37.15,-88.77,"1","B7",134.00,11452.00,0.51,0.90,1.24,424.95,10.34,,"GEN",
1528.00,"Shawnee","CAP_GEN_P1379",1379.00,16.00,16.00,"KY",37.15,-88.77,"2","B7",134.00,11478.00,0.50,0.90,1.24,424.02,10.36,,"GEN",
1531.00,"Shawnee","CAP_GEN_P1379",1379.00,16.00,16.00,"KY",37.15,-88.77,"3","B7",134.00,11454.00,0.52,0.90,1.24,425.66,10.34,,"GEN",
1692.00,"Kendall Square Stati","CAP_GEN_P1595",1595.00,7.00,1.00,"MA",42.36,-71.07,"GEN4","EC",183.10,10007.00,0.64,0.90,0.85,191.20,2.92,,"GEN",
146.00,"Apache Station","CAP_GEN_P160",160.00,20.00,21.00,"AZ",32.06,-109.89,"ST3","C4",175.00,11324.00,0.58,0.90,1.60,514.09,9.43,,"GEN",
150.00,"GREC","CAP_GEN_P165",165.00,17.00,18.00,"OK",36.19,-95.28,"2","B7",492.00,14418.00,0.50,0.90,5.73,1043.43,6.85,,"GEN",
152.00,"GREC","CAP_GEN_P165",165.00,17.00,18.00,"OK",36.19,-95.28,"3CT","EC",477.00,7050.00,0.51,0.90,1.56,550.32,10.00,,"GEN",
1727.00,"Potter Station 2","CAP_GEN_P1660",1660.00,7.00,1.00,"MA",42.23,-70.96,"CC2","EC",62.59,9518.00,0.00,0.90,0.27,139.89,11.58,,"GEN",
1728.00,"Potter Station 2","CAP_GEN_P1660",1660.00,7.00,1.00,"MA",42.23,-70.96,"CC3","EC",15.48,9633.00,5.0e-03,0.90,0.06,33.76,11.58,,"GEN",
1736.00,"Cleary Flood Hybrid","CAP_GEN_P1682",1682.00,7.00,1.00,"MA",41.86,-71.10,"9A","EC",17.98,11179.00,0.01,0.90,0.09,33.21,16.51,,"GEN",
1738.00,"Cleary Flood Hybrid","CAP_GEN_P1682",1682.00,7.00,1.00,"MA",41.86,-71.10,"CA9","EC",84.98,11179.00,0.01,0.90,0.44,143.92,16.51,,"GEN",
1748.00,"Dan E Karn","CAP_GEN_P1702",1702.00,5.00,5.00,"MI",43.64,-83.84,"1A","B7",127.50,11074.00,1.00,0.90,1.14,641.00,8.50,,"GEN",
1751.00,"Dan E Karn","CAP_GEN_P1702",1702.00,5.00,5.00,"MI",43.64,-83.84,"1B","B7",127.50,10810.00,0.50,0.90,1.11,7873.22,9999.00,,"GEN",
1754.00,"Dan E Karn","CAP_GEN_P1702",1702.00,5.00,5.00,"MI",43.64,-83.84,"2A","B7",117.10,10933.00,1.00,0.90,1.03,619.50,8.64,,"GEN",
1757.00,"Dan E Karn","CAP_GEN_P1702",1702.00,5.00,5.00,"MI",43.64,-83.84,"2B","B7",117.10,11140.00,0.50,0.90,1.05,7873.22,9999.00,,"GEN",
