PLANT_NAME,EMM_REGION,PLANT_CODE,STATE,LAT,LON,UID,IGRP,SUM_CAP,HEATRATE,CF,FuelRegion,GROUP,CCSROV,CCSF,CCSV,CCSHR,old22emm
Decatur Energy Cente,16,55292,AL,87.021,-34.629,STG1,6670,260,7760,0.334,99,Gas,735,0,3.11,9227.6,15
Morgan Energy Center,16,55293,AL,87.064,-34.64,CTG1,6671,161,7876,0.726,99,Gas,712.1,0,3.15,9392.1,15
Morgan Energy Center,16,55293,AL,87.064,-34.64,CTG2,6671,161,7876,0.726,99,Gas,712.1,0,3.15,9392.1,15
Morgan Energy Center,16,55293,AL,87.064,-34.64,CTG3,6671,161,7876,0.726,99,Gas,712.1,0,3.15,9392.1,15
Morgan Energy Center,16,55293,AL,87.064,-34.64,STG1,6671,266,7876,0.726,99,Gas,712.1,0,3.15,9392.1,15
Westbrook Energy Cen,7,55294,ME,70.375,-43.658,GTG1,6672,160.5,7156,0.481,99,Gas,648.8,0,2.71,8385.9,5
Westbrook Energy Cen,7,55294,ME,70.375,-43.658,GTG2,6672,160.5,7156,0.481,99,Gas,648.8,0,2.71,8385.9,5
Westbrook Energy Cen,7,55294,ME,70.375,-43.658,STG3,6672,185,7156,0.481,99,Gas,648.8,0,2.71,8385.9,5
Blythe Energy Inc,22,55295,CA,114.687,-33.616,CT1,6673,156.5,7311,0.344,99,Gas,636.5,0,2.77,8599.6,20
Blythe Energy Inc,22,55295,CA,114.687,-33.616,CT2,6673,156.5,7311,0.344,99,Gas,636.5,0,2.77,8599.6,20
Blythe Energy Inc,22,55295,CA,114.687,-33.616,ST1,6673,201,7311,0.344,99,Gas,636.5,0,2.77,8599.6,20
New Covert Generatin,3,55297,MI,86.294,-42.322,1,6675,210.7,7050,0.263,99,Gas,751.2,0,2.95,8240.7,11
New Covert Generatin,3,55297,MI,86.294,-42.322,1A,6675,136,7050,0.263,99,Gas,751.2,0,2.95,8240.7,11
New Covert Generatin,3,55297,MI,86.294,-42.322,2,6675,210.7,7050,0.263,99,Gas,751.2,0,2.95,8240.7,11
New Covert Generatin,3,55297,MI,86.294,-42.322,2A,6675,136,7050,0.263,99,Gas,751.2,0,2.95,8240.7,11
New Covert Generatin,3,55297,MI,86.294,-42.322,3,6675,210.7,7050,0.263,99,Gas,751.2,0,2.95,8240.7,11
New Covert Generatin,3,55297,MI,86.294,-42.322,3A,6675,136,7050,0.263,99,Gas,751.2,0,2.95,8240.7,11
Fairless Energy Cent,10,55298,PA,74.741,-40.148,CT1A,6676,189,7179,0.655,99,Gas,602.1,0,2.59,8417.5,9
Fairless Energy Cent,10,55298,PA,74.741,-40.148,CT1B,6676,189,7179,0.655,99,Gas,608.6,0,2.61,8417.5,9
Fairless Energy Cent,10,55298,PA,74.741,-40.148,CT2A,6676,189,7179,0.655,99,Gas,602.1,0,2.59,8417.5,9
