ID,Capacity_MMT,INJ_TYPE,SITE_NAME,T_NODE,EMM_REGION,Fuel_Region,OGSM_Region,State,LAT,LON,SiteMax_MMT,THICKNESS,Dtop,PA,Sdrill,MaxUse,ASMDisc,FormA,FormInjRate,Rdrill,Asdrill,MidDensity,lith_coeff,porosity,DCMW,S2DL,Mwells,ASMWell,ASMWell_Str_D,S3D,Maxprojinjrate,MaxWellInjRate,Inj_W_D,Str_D,Rdepth,Mwells_Rdepth,Rdepth_Cdia_Mwells,Mwells_Rdrill,AS_ASM,FpipeCC,INJ_R,PADepCC,Plume_R,Fin_ind,S5YR_ind,ResMWells,Tonnes,I_Wells,PA_B,MW_depth,M_Wells,Pdia,DCM_Wells,Inj_depth,DCMW_AC,wellPa_ETUC,ResmWell_ETUC,PlumeR_ETUC,W_PlumeR_ETUC,StratT,PreopSite,PreopWell,PreopPA,DiscPISC,FiveETUC,ThreeTRC
22,22184.183,General,FL_SAL_Cedar Keys-Lawson2,S_FL_Cedar Keys-Lawson,2,15,2,FL,26.705,-81.246,58.8,500,4800,51.07,1.03557869,0.4,76.05,16981,1769.96,1.03557869,0.78229034,713.44,0.05,0.22,115.57,8.13,14.77,12.7675,68303.59,70.7902,10958.9,0.6460354,5.1,0.00535,4.85,71620.07,537150.55,15292416.93,9987520.72,2593088.21,3.2,52.0838,2.8785,0.0481,0.032608,13,3.2,8,79.66,4650,26,10.07,17,5350,491728,1187450,42485,27430,73073,9302267,19337180,14437328,1425453,132672892,1773527,3022285
23,722.2735683,General,FL_SAL_Cedar Keys-Lawson3,S_FL_Cedar Keys-Lawson,2,15,2,FL,25.319,-80.766,36.6,300,4600,82.12,0.88715024,0.4,76.05,889,1031.66,0.88715024,0.71546062,707.33,0.05,0.23,162.25,13.07,22.53,20.53,101619.05,111.1504,10958.9,0.3765559,4.8,0.00495,4.65,104760.32,785702.41,19986697.8,14687763.59,4169629.88,3.2,73.0284,4.6245,0.0773,0.032608,21,3.2,13,114.63,4450,42,12.08,25,4950,698860,1916750,41245,34783,150574,8371710,28822625,21054076,2282386,193060606,1588586,4304389
24,6171.220189,General,TX_SAL_Cisco1,E_TX_OGSM_4,1,18,3,TX,34.679,-101.657,20.4,277,4663,146.32,0.97956623,0.4,76.05,15012,1961.41,0.97956623,0.83564168,826.95,0.07,0.09,185.12,23.29,38.58,36.58,182532.28,199.877,10958.9,0.71591465,4.8515,0.00499,4.713,181825.73,1363692.97,37791288.89,30567451.64,7429621.75,2.187010489,84.6439,8.2969,0.1388,0.032608,37,2.187,5,135.92,4513,50,13.16,29,4990,801584,2337500,41369,38384,63909,8781955,22627326,8636328,2775974,223864402,1696289,5386920
25,3495.051562,General,NM_SAL_Cisco2,E_NM_OGSM_4,20,21,4,NM,34.631,-103.846,20.4,277,4663,146.32,0.96764027,0.4,76.05,8502,1961.41,0.96764027,0.90691789,826.95,0.07,0.09,185.12,23.29,38.58,36.58,182532.28,199.877,10958.9,0.71591465,4.8515,0.00499,4.713,181825.73,1363692.97,37331189.65,33174708,7429621.75,2.187010489,84.6439,8.2969,0.1388,0.032608,37,2.187,5,135.92,4513,50,13.16,29,4990,801584,2337500,41369,38384,63909,8240708,22627326,8567754,2775974,223864402,1682574,5510275
26,24066.62783,General,TX_SAL_Cisco3,E_TX_OGSM_4,1,18,4,TX,31.763,-102.457,24,390,7340,124.75,2.10184408,0.4,76.05,49915,3660,2.10184408,1.82457867,688.88,0.07,0.09,185.12,19.85,33.19,31.1875,242642.6,198.2894,10958.9,1.3359,7.585,0.00778,7.39,245259.29,1839444.64,69755991.43,56904950.93,6334539.14,2.565089635,94.7252,7.0524,0.118,0.032608,32,2.5651,4,158.63,7190,50,14.21,29,7780,801584,2337500,50018,38384,51127,15772777,24160358,12474110,2775974,250626452,3086295,8643852
27,4331.655502,General,NM_SAL_Cisco4,E_NM_OGSM_4,20,21,4,NM,32.934,-103.637,24,390,7340,124.75,1.69674887,0.4,76.05,8984,3660,1.69674887,1.48931417,688.88,0.07,0.09,185.12,19.85,33.19,31.1875,242642.6,198.2894,10958.9,1.3359,7.585,0.00778,7.39,245259.29,1839444.64,56311693.55,46448723.13,6334539.14,2.565089635,94.7252,7.0524,0.118,0.032608,32,2.5651,4,158.63,7190,50,14.21,29,7780,801584,2337500,50018,38384,51127,13135343,24160358,10610672,2775974,250626452,2620436,7550931
28,790.5683938,General,OH_SAL_Conasauga1,S_OH_Conasauga,11,4,1,OH,40.503,-81.972,1.8,150,8000,1684.28,0.73265711,0.4,76.05,22863,215.68,0.73265711,0.68312496,695,0.06,0.02,185.12,268.06,423.07,421.07,3452783.37,2703.3815,10958.9,0.0787232,8.125,0.0082,8.05,3405722.7,25542920.25,309966078.8,287644206.3,34209209.19,0.189991655,91.6074,94.0316,1.5728,0.032608,422,0.19,5,162.2,7850,50,14.37,29,8200,801584,2337500,51320,38384,63909,6902152,18591183,7795564,2775974,255640176,1526692,4953912
29,165.3892726,General,OH_SAL_Copper Ridge1,E_OH_OGSM_1,11,4,1,OH,39.293,-81.678,3,75,7000,1046.77,0.59091832,0.4,76.05,2607,80.68,0.59091832,0.55929541,685.39,0.08,0.05,185.12,166.6,263.69,261.6925,1864566.68,1531.4115,10958.9,0.0294482,7.0875,0.007125,7.05,1859039.66,13942797.45,155821359.9,146364012,31891273.7,0.305701068,88.7721,56.419,0.9437,0.032608,262,0.3057,15,153.14,6850,50,13.96,29,7125,801584,2337500,47988,38384,191727,5984441,26673147,20360029,2775974,247491847,1325398,4515471
30,251.3700187,General,PA_SAL_Copper Ridge2,E_PA_OGSM_1,10,3,1,PA,40.29,-79.902,3,75,9000,1021.6,0.88154654,0.4,76.05,3867,99.02,0.88154654,0.83437071,702.28,0.08,0.05,185.12,162.59,257.4,255.4,2330520.48,1702.0868,10958.9,0.0361423,9.0875,0.009125,9.05,2329465.52,17470991.38,226909642.5,213097865.2,31124247.87,0.313234763,96.1298,56.419,0.9437,0.032608,256,0.3132,13,170.21,8850,50,14.72,29,9125,801584,2337500,54188,38384,166164,7862931,26027690,22928136,2775974,267078774,1730865,5448286
31,732.9164891,General,WV_SAL_Copper Ridge3,E_WV_OGSM_1,11,11,1,WV,39.066,-81.237,5.1,65,8250,594.11,0.75723815,0.4,76.05,6557,1598.38,0.75723815,0.71814952,696.69,0.08,0.1,185.12,94.56,150.53,148.5275,1242441.62,962.4519,10958.9,0.5834087,8.3325,0.008365,8.3,1249387.27,9370404.49,113985987.5,106665733.2,18100428.73,0.538616878,93.4532,33.1876,0.5551,0.032608,149,0.5386,4,163.62,8100,50,14.43,29,8365,801584,2337500,51832,38384,51127,7060967,19008547,6373332,2775974,257262893,1560838,5056095
32,116.2154123,General,WY_SAL_Crow Mountain 1,E_WY_OGSM_5,24,19,6,WY,44.409,-108.621,3.9,75,14000,782.61,10.18056529,0.4,76.05,1597,2849.54,10.18056529,9.7907342,727.25,0.08,0.07,185.12,124.56,197.65,195.6525,2763592.2,1667.8589,10958.9,1.0400821,14.0875,0.014125,14.05,2777018.26,20827636.95,2012214640,1915582065,23843187.65,0.40888813,116.1805,43.3992,0.7259,0.032608,196,0.4089,4,216.82,13850,50,16.62,29,14125,801584,2337500,69688,38384,51127,65068019,22748872,50551747,2775974,317687625,12602849,33158321
33,4.439035786,General,MT_SAL_Crow Mountain 2,E_MT_OGSM_7,23,19,7,MT,45.1,-109.232,3.9,75,14000,42.7,5.58031991,0.4,76.05,61,2849.54,5.58031991,5.46379666,727.25,0.08,0.07,80.16,6.8,12.68,10.675,150784.38,1667.8589,597.93,1.0400821,14.0875,0.014125,14.05,178083.75,1335628.13,70730554.81,58326029.32,15895458.43,0.099768704,49.402,43.3992,0.7259,0.032608,11,0.0998,4,93.4,13850,13,10.91,11,14125,335116,570350,69688,18960,25255,35647477,10881311,29390618,689414,125593002,7312567,6186393
34,80.27226611,General,MT_SAL_Crow Mountain 3,E_MT_OGSM_7,23,19,7,MT,45.187,-109.182,7.5,75,8000,389.2,3.08240648,0.4,76.05,556,3596.74,3.08240648,2.97057204,694.69,0.08,0.14,185.12,61.94,99.3,97.3,790562.5,646.2489,10812.51,1.3128101,8.0875,0.008125,8.05,799365,5995237.5,306082963.5,289036659.4,16024007.25,0.811215844,93.751,22.5676,0.3775,0.032608,98,0.8112,4,161.56,7850,50,14.34,29,8125,801584,2337500,51088,38384,51127,21142200,22312141,17034477,2775974,254827211,4226232,11948042
