KILN_ID,FACILITY_ID,LATITUDE,LONGITUDE,STATE,CENSUS_REGION,CENSUS_DIVISION,CENSUS_DIV_NEMS,OGSM_RG,EMM_FR,Wet/Dry Kiln,Kiln Tech,CAP_FACTOR,LB_CO2/T_CLINKER,TOTAL_CO2_EMISSIONS,flag_CO2,flag_clinkerCAP,flag_ClinkerPerCO2,flag_notPR,flag_nofuel,coal,natural gas,tires,petroleum coke,coke,distillate oil,biomass,ag products,other,CLINKER_CAPACITY_kT_YR,CCS Retrofit Costs [2011$/ton clinker],CO2 Sales Price to EOR [$/tonne],Total CO2 Capture Retrofit TOC [2011$/kT],Total Annual Fixed O&M Cost [2011$/kT],Total Annual Variable O&M Cost [2011$/kT @ Operating CF],Total Parasitic Retrofit Load [MW/kT],Total Natural Gas Requirement [GJ/kT],CCS Y/N
50,1005662,34.437557,-116.891034,CA,West,"""Pacific""",9,6,23,Dry,3,0.802211939,2327.656524,1108335.7,1,1,1,1,1,0.03,0.03,0.45,0,0,0,0.5,0,0,1568.595041,78.9211679,79.65891065,337848.4312,8901.650048,4543.52914,125.1628426,3.159303229,0
51,1002049,31.481987,-97.240773,TX,South,"""West South Central""",7,2,18,0,0,0.717882382,3091.795039,124030.6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,113.2191246,110.0792003,115.0561978,1033894.687,27241.11713,13904.2547,155.5108618,3.925334051,0
52,1005360,42.49756,-73.813652,NY,Northeast,"""Middle Atlantic""",2,1,2,Dry,3,0.810646929,1712.310312,1014544,1,1,1,1,1,0.95,0,0,0,0,0.05,0,0,0,1961.680058,73.54972677,73.5566497,212617.3466,5602.05417,2859.368345,66.31859195,1.819681359,0
53,1005622,40.715359,-75.400859,PA,Northeast,"""Middle Atlantic""",2,1,3,Dry,3,0.721666667,2096.688939,536986.1,1,1,1,1,1,0.93,0,0,0,0,0.03,0,0,0.03,1161.363636,82.82426769,84.09305277,292085.4244,7695.883691,3928.088795,80.48571055,2.208405559,0
54,1002537,47.56799,-122.34255,WA,West,"""Pacific""",9,6,22,Wet,4,0.949806452,1859.998763,365487,1,1,1,1,1,0,0.95,0.05,0,0,0,0,0,0,748.5818182,93.13313427,95.80450829,330677.6311,8712.713392,4447.093176,77.93943851,1.967311661,0
55,1002055,32.512975,-96.971099,TX,South,"""West South Central""",7,2,18,Dry,1,0.784700147,1947.220601,626667,1,1,1,1,1,0.03,0.03,0,0.92,0,0,0,0,0.03,1314.325639,28.7693894,27.6836536,414425.1552,10919.29801,5573.365435,156.0424431,3.938751982,0
56,1002055,32.512975,-96.971099,TX,South,"""West South Central""",7,2,18,Dry,1,0.784700147,1996.944703,819169,1,1,1,1,1,0.03,0.03,0,0.92,0,0,0,0,0.03,1314.325639,28.7693894,27.6836536,414425.1552,10919.29801,5573.365435,156.0424431,3.938751982,0
57,1003008,38.386367,-105.017688,CO,West,"""Mountain""",8,5,20,Dry,3,0.84881298,1599.425694,981672,1,1,1,1,1,0.29,0.31,0.12,0.28,0,0,0,0,0,1974.318182,75.82719217,76.14397921,205850.9036,5423.77154,2768.370348,65.17016734,1.644995559,0
58,1004612,40.7369,-122.3223,CA,West,"""Pacific""",9,6,23,Dry,1,0.918250431,1693.27622,290641,1,1,1,1,1,0.02,0.92,0.02,0.02,0,0,0,0.02,0.02,640.064923,103.6012396,107.6968681,340928.4805,8982.803365,4584.95095,74.52476553,1.881120048,0
59,1002566,35.12279,-118.369304,CA,West,"""Pacific""",9,6,23,Dry,3,0.792876319,1750.812451,556751,1,1,1,1,1,0.03,0,0,0,0.47,0,0,0,0.5,1035.780737,90.93985113,93.3128146,313003.0016,8247.021229,4209.397254,86.64284003,2.186998942,0
60,1002527,44.5428,-117.4218,OR,West,"""Pacific""",9,6,22,Dry,1,0.777721795,2044.094445,691828.4,1,1,1,1,1,0.45,0.03,0.5,0,0,0,0,0,0.03,1091.018182,70.29552971,69.85969778,336842.6119,8875.148663,4530.002455,97.38951191,2.672220174,0
61,1003067,38.129058,-104.606741,CO,West,"""Mountain""",8,5,20,Dry,3,0.737025912,1947.429727,739967,1,1,1,1,1,0.03,0.03,0.45,0,0,0,0.5,0,0,1095,75.08112961,75.29640994,382664.141,10082.45697,5146.229831,123.3614643,3.113833662,0
62,1002665,37.698786,-95.459748,KS,Midwest,"""West North Central""",4,3,7,Dry,3,0.850291104,2004.347895,1005952,1,1,1,1,1,0.92,0.03,0,0,0.03,0,0,0,0.03,1672.363636,63.98290041,62.68819384,292140.4011,7697.332222,3928.828145,103.1478036,2.603609683,0
63,1003002,38.1804,-90.3366,MO,Midwest,"""West North Central""",4,3,9,Dry,3,0.898398651,2884.625215,1684401.4,1,1,1,1,1,0,0.05,0,0.95,0,0,0,0,0,2177.464864,61.19659604,59.52279448,317707.1825,8370.967259,4272.661076,134.054625,3.678255147,0
64,1004270,29.545278,-98.421111,TX,South,"""West South Central""",7,2,18,0,0,0.758394512,19.30370003,4882,1,1,0,1,1,0.44,0.18,0.19,0,0.19,0,0,0,0,796.3636364,35.51952864,35.35219358,394334.1739,10389.93967,5303.173389,107.1056721,2.70351239,0
65,1004270,29.545278,-98.421111,TX,South,"""West South Central""",7,2,18,Dry,1,0.758394512,1767.959932,447125.7,1,1,1,1,1,0.44,0.18,0.19,0,0.19,0,0,0,0,796.3636364,35.51952864,35.35219358,394334.1739,10389.93967,5303.173389,107.1056721,2.70351239,0
66,1004539,44.0896,-103.271663,SD,Midwest,"""West North Central""",4,7,10,0,0,0.849182029,1291.960663,493097,1,1,1,1,1,0.05,0.95,0,0,0,0,0,0,0,1261.749603,24.36461419,24.34624649,267734.1772,7054.275618,3600.602884,73.59208183,2.019254865,0
67,1004539,44.0896,-103.271663,SD,Midwest,"""West North Central""",4,7,10,0,0,0.849182029,34.28113082,12659,1,1,0,1,0,0.05,0.95,0,0,0,0,0,0,0,1261.749603,24.36461419,24.34624649,267734.1772,7054.275618,3600.602884,73.59208183,2.019254865,0
68,1004539,44.0896,-103.271663,SD,Midwest,"""West North Central""",4,7,10,Dry,1,0.849182029,391.8063364,131535,1,1,0,1,0,0.05,0.95,0,0,0,0,0,0,0,1261.749603,24.36461419,24.34624649,267734.1772,7054.275618,3600.602884,73.59208183,2.019254865,0
