Policy,Tech,MNUMYR,Value
LCA_TECH,SMR_ADV,18,0
LCA_TECH,SMR_ADV,19,0
LCA_TECH,SMR_ADV,20,0
LCA_TECH,SMR_ADV,21,0
LCA_TECH,SMR_ADV,22,0
LCA_TECH,SMR_ADV,23,0
LCA_TECH,SMR_ADV,24,5
LCA_TECH,SMR_ADV,25,5
LCA_TECH,SMR_ADV,26,5
LCA_TECH,SMR_ADV,27,5
LCA_TECH,SMR_ADV,28,5
LCA_TECH,SMR_ADV,29,5
LCA_TECH,SMR_ADV,30,5
LCA_TECH,SMR_ADV,31,5
LCA_TECH,SMR_ADV,32,5
LCA_TECH,SMR_ADV,33,5
LCA_TECH,SMR_ADV,34,5
LCA_TECH,SMR_ADV,35,5
LCA_TECH,SMR_ADV,36,5
LCA_TECH,SMR_ADV,37,5
LCA_TECH,SMR_ADV,38,5
LCA_TECH,SMR_ADV,39,5
LCA_TECH,SMR_ADV,40,5
LCA_TECH,SMR_ADV,41,5
LCA_TECH,SMR_ADV,42,5
LCA_TECH,SMR_ADV,43,5
LCA_TECH,SMR_ADV,44,5
LCA_TECH,SMR_ADV,45,5
LCA_TECH,SMR_ADV,46,5
LCA_TECH,SMR_ADV,47,5
LCA_TECH,SMR_ADV,48,5
LCA_TECH,SMR_ADV,49,5
LCA_TECH,SMR_ADV,50,5
LCA_TECH,SMR_ADV,51,5
LCA_TECH,SMR_ADV,52,5
LCA_TECH,SMR_ADV,53,5
LCA_TECH,SMR_ADV,54,5
LCA_TECH,SMR_ADV,55,5
LCA_TECH,SMR_ADV,56,5
LCA_TECH,SMR_ADV,57,5
LCA_TECH,SMR_ADV,58,5
LCA_TECH,SMR_ADV,59,5
LCA_TECH,SMR_ADV,60,5
LCA_TECH,SMR_ADV,61,5
LCA_TECH,ATR,1,0
LCA_TECH,ATR,2,0
LCA_TECH,ATR,3,0
LCA_TECH,ATR,4,0
LCA_TECH,ATR,5,0
LCA_TECH,ATR,6,0
LCA_TECH,ATR,7,0
LCA_TECH,ATR,8,0
LCA_TECH,ATR,9,0
LCA_TECH,ATR,10,0
LCA_TECH,ATR,11,0
LCA_TECH,ATR,12,0
LCA_TECH,ATR,13,0
LCA_TECH,ATR,14,0
LCA_TECH,ATR,15,0
LCA_TECH,ATR,16,0
LCA_TECH,ATR,17,0
LCA_TECH,ATR,18,0
LCA_TECH,ATR,19,0
LCA_TECH,ATR,20,0
LCA_TECH,ATR,21,0
LCA_TECH,ATR,22,0
LCA_TECH,ATR,23,0
LCA_TECH,ATR,24,5
LCA_TECH,ATR,25,5
LCA_TECH,ATR,26,5
LCA_TECH,ATR,27,5
LCA_TECH,ATR,28,5
LCA_TECH,ATR,29,5
LCA_TECH,ATR,30,5
LCA_TECH,ATR,31,5
LCA_TECH,ATR,32,5
LCA_TECH,ATR,33,5
LCA_TECH,ATR,34,5
LCA_TECH,ATR,35,5
LCA_TECH,ATR,36,5
LCA_TECH,ATR,37,5
LCA_TECH,ATR,38,5
LCA_TECH,ATR,39,5
LCA_TECH,ATR,40,5
LCA_TECH,ATR,41,5
LCA_TECH,ATR,42,5
LCA_TECH,ATR,43,5
LCA_TECH,ATR,44,5
LCA_TECH,ATR,45,5
LCA_TECH,ATR,46,5
LCA_TECH,ATR,47,5
LCA_TECH,ATR,48,5
LCA_TECH,ATR,49,5
LCA_TECH,ATR,50,5
LCA_TECH,ATR,51,5
LCA_TECH,ATR,52,5
LCA_TECH,ATR,53,5
LCA_TECH,ATR,54,5
LCA_TECH,ATR,55,5
LCA_TECH,ATR,56,5
LCA_TECH,ATR,57,5
LCA_TECH,ATR,58,5
LCA_TECH,ATR,59,5
LCA_TECH,ATR,60,5
LCA_TECH,ATR,61,5
LCA_TECH,SMR_CCS_ADV,1,0
LCA_TECH,SMR_CCS_ADV,2,0
LCA_TECH,SMR_CCS_ADV,3,0
LCA_TECH,SMR_CCS_ADV,4,0
LCA_TECH,SMR_CCS_ADV,5,0
LCA_TECH,SMR_CCS_ADV,6,0
LCA_TECH,SMR_CCS_ADV,7,0
LCA_TECH,SMR_CCS_ADV,8,0
LCA_TECH,SMR_CCS_ADV,9,0
LCA_TECH,SMR_CCS_ADV,10,0
LCA_TECH,SMR_CCS_ADV,11,0
LCA_TECH,SMR_CCS_ADV,12,0
LCA_TECH,SMR_CCS_ADV,13,0
LCA_TECH,SMR_CCS_ADV,14,0
LCA_TECH,SMR_CCS_ADV,15,0
LCA_TECH,SMR_CCS_ADV,16,0
LCA_TECH,SMR_CCS_ADV,17,0
LCA_TECH,SMR_CCS_ADV,18,0
LCA_TECH,SMR_CCS_ADV,19,0
LCA_TECH,SMR_CCS_ADV,20,0
LCA_TECH,SMR_CCS_ADV,21,0
LCA_TECH,SMR_CCS_ADV,22,0
LCA_TECH,SMR_CCS_ADV,23,0
LCA_TECH,SMR_CCS_ADV,24,3
LCA_TECH,SMR_CCS_ADV,25,3
LCA_TECH,SMR_CCS_ADV,26,3
LCA_TECH,SMR_CCS_ADV,27,3
LCA_TECH,SMR_CCS_ADV,28,3
LCA_TECH,SMR_CCS_ADV,29,3
LCA_TECH,SMR_CCS_ADV,30,3
LCA_TECH,SMR_CCS_ADV,31,3
LCA_TECH,SMR_CCS_ADV,32,3
LCA_TECH,SMR_CCS_ADV,33,3
LCA_TECH,SMR_CCS_ADV,34,3
LCA_TECH,SMR_CCS_ADV,35,3
LCA_TECH,SMR_CCS_ADV,36,3
LCA_TECH,SMR_CCS_ADV,37,3
LCA_TECH,SMR_CCS_ADV,38,3
LCA_TECH,SMR_CCS_ADV,39,3
LCA_TECH,SMR_CCS_ADV,40,3
LCA_TECH,SMR_CCS_ADV,41,3
LCA_TECH,SMR_CCS_ADV,42,3
LCA_TECH,SMR_CCS_ADV,43,3
LCA_TECH,SMR_CCS_ADV,44,3
LCA_TECH,SMR_CCS_ADV,45,3
LCA_TECH,SMR_CCS_ADV,46,3
LCA_TECH,SMR_CCS_ADV,47,3
LCA_TECH,SMR_CCS_ADV,48,3
LCA_TECH,SMR_CCS_ADV,49,3
LCA_TECH,SMR_CCS_ADV,50,3
LCA_TECH,SMR_CCS_ADV,51,3
LCA_TECH,SMR_CCS_ADV,52,3
LCA_TECH,SMR_CCS_ADV,53,3
LCA_TECH,SMR_CCS_ADV,54,3
LCA_TECH,SMR_CCS_ADV,55,3
LCA_TECH,SMR_CCS_ADV,56,3
LCA_TECH,SMR_CCS_ADV,57,3
LCA_TECH,SMR_CCS_ADV,58,3
LCA_TECH,SMR_CCS_ADV,59,3
LCA_TECH,SMR_CCS_ADV,60,3
LCA_TECH,SMR_CCS_ADV,61,3
LCA_TECH,SMR_CCS,1,0
LCA_TECH,SMR_CCS,2,0
LCA_TECH,SMR_CCS,3,0
LCA_TECH,SMR_CCS,4,0
LCA_TECH,SMR_CCS,5,0
LCA_TECH,SMR_CCS,6,0
LCA_TECH,SMR_CCS,7,0
LCA_TECH,SMR_CCS,8,0
LCA_TECH,SMR_CCS,9,0
LCA_TECH,SMR_CCS,10,0
LCA_TECH,SMR_CCS,11,0
LCA_TECH,SMR_CCS,12,0
LCA_TECH,SMR_CCS,13,0
LCA_TECH,SMR_CCS,14,0
LCA_TECH,SMR_CCS,15,0
LCA_TECH,SMR_CCS,16,0
LCA_TECH,SMR_CCS,17,0
LCA_TECH,SMR_CCS,18,0
LCA_TECH,SMR_CCS,19,0
LCA_TECH,SMR_CCS,20,0
LCA_TECH,SMR_CCS,21,0
LCA_TECH,SMR_CCS,22,0
LCA_TECH,SMR_CCS,23,0
LCA_TECH,SMR_CCS,24,3
LCA_TECH,SMR_CCS,25,3
LCA_TECH,SMR_CCS,26,3
LCA_TECH,SMR_CCS,27,3
LCA_TECH,SMR_CCS,28,3
LCA_TECH,SMR_CCS,29,3
LCA_TECH,SMR_CCS,30,3
LCA_TECH,SMR_CCS,31,3
LCA_TECH,SMR_CCS,32,3
LCA_TECH,SMR_CCS,33,3
LCA_TECH,SMR_CCS,34,3
LCA_TECH,SMR_CCS,35,3
LCA_TECH,SMR_CCS,36,3
LCA_TECH,SMR_CCS,37,3
LCA_TECH,SMR_CCS,38,3
LCA_TECH,SMR_CCS,39,3
LCA_TECH,SMR_CCS,40,3
LCA_TECH,SMR_CCS,41,3
LCA_TECH,SMR_CCS,42,3
LCA_TECH,SMR_CCS,43,3
LCA_TECH,SMR_CCS,44,3
LCA_TECH,SMR_CCS,45,3
LCA_TECH,SMR_CCS,46,3
LCA_TECH,SMR_CCS,47,3
LCA_TECH,SMR_CCS,48,3
LCA_TECH,SMR_CCS,49,3
LCA_TECH,SMR_CCS,50,3
LCA_TECH,SMR_CCS,51,3
LCA_TECH,SMR_CCS,52,3
LCA_TECH,SMR_CCS,53,3
LCA_TECH,SMR_CCS,54,3
LCA_TECH,SMR_CCS,55,3
LCA_TECH,SMR_CCS,56,3
LCA_TECH,SMR_CCS,57,3
LCA_TECH,SMR_CCS,58,3
LCA_TECH,SMR_CCS,59,3
LCA_TECH,SMR_CCS,60,3
LCA_TECH,SMR_CCS,61,3
LCA_TECH,ATR_CCS,1,0
LCA_TECH,ATR_CCS,2,0
LCA_TECH,ATR_CCS,3,0
LCA_TECH,ATR_CCS,4,0
LCA_TECH,ATR_CCS,5,0
LCA_TECH,ATR_CCS,6,0
LCA_TECH,ATR_CCS,7,0
LCA_TECH,ATR_CCS,8,0
LCA_TECH,ATR_CCS,9,0
LCA_TECH,ATR_CCS,10,0
LCA_TECH,ATR_CCS,11,0
LCA_TECH,ATR_CCS,12,0
LCA_TECH,ATR_CCS,13,0
LCA_TECH,ATR_CCS,14,0
LCA_TECH,ATR_CCS,15,0
LCA_TECH,ATR_CCS,16,0
LCA_TECH,ATR_CCS,17,0
LCA_TECH,ATR_CCS,18,0
LCA_TECH,ATR_CCS,19,0
LCA_TECH,ATR_CCS,20,0
LCA_TECH,ATR_CCS,21,0
LCA_TECH,ATR_CCS,22,0
LCA_TECH,ATR_CCS,23,0
LCA_TECH,ATR_CCS,24,3
LCA_TECH,ATR_CCS,25,3
LCA_TECH,ATR_CCS,26,3
LCA_TECH,ATR_CCS,27,3
LCA_TECH,ATR_CCS,28,3
LCA_TECH,ATR_CCS,29,3
LCA_TECH,ATR_CCS,30,3
LCA_TECH,ATR_CCS,31,3
LCA_TECH,ATR_CCS,32,3
LCA_TECH,ATR_CCS,33,3
LCA_TECH,ATR_CCS,34,3
