TECH,MNUMCR,MNUMYR,CAPAVAIL,CAPLAN,CAPNEW
Saline Cavern,5,34,100,0.2,0.1
Saline Cavern,5,35,100,0.2,0.1
Saline Cavern,5,36,100,0.2,0.1
Saline Cavern,5,37,100,0.2,0.1
Saline Cavern,5,38,100,0.2,0.1
Saline Cavern,5,39,100,0.2,0.1
Saline Cavern,5,40,100,0.2,0.1
Saline Cavern,5,41,100,0.2,0.1
Saline Cavern,5,42,100,0.2,0.1
Saline Cavern,5,43,100,0.2,0.1
Saline Cavern,5,44,100,0.2,0.1
Saline Cavern,5,45,100,0.2,0.1
Saline Cavern,5,46,100,0.2,0.1
Saline Cavern,5,47,100,0.2,0.1
Saline Cavern,5,48,100,0.2,0.1
Saline Cavern,5,49,100,0.2,0.1
Saline Cavern,5,50,100,0.2,0.1
Saline Cavern,5,51,100,0.2,0.1
Saline Cavern,5,52,100,0.2,0.1
Saline Cavern,5,53,100,0.2,0.1
Saline Cavern,5,54,100,0.2,0.1
Saline Cavern,5,55,100,0.2,0.1
Saline Cavern,5,56,100,0.2,0.1
Saline Cavern,5,57,100,0.2,0.1
Saline Cavern,5,58,100,0.2,0.1
Saline Cavern,5,59,100,0.2,0.1
Saline Cavern,5,60,100,0.2,0.1
Saline Cavern,5,61,100,0.2,0.1
Saline Cavern,6,1,100,0.2,0.1
Saline Cavern,6,2,100,0.2,0.1
Saline Cavern,6,3,100,0.2,0.1
Saline Cavern,6,4,100,0.2,0.1
Saline Cavern,6,5,100,0.2,0.1
Saline Cavern,6,6,100,0.2,0.1
Saline Cavern,6,7,100,0.2,0.1
Saline Cavern,6,8,100,0.2,0.1
Saline Cavern,6,9,100,0.2,0.1
Saline Cavern,6,10,100,0.2,0.1
Saline Cavern,6,11,100,0.2,0.1
Saline Cavern,6,12,100,0.2,0.1
Saline Cavern,6,13,100,0.2,0.1
Saline Cavern,6,14,100,0.2,0.1
Saline Cavern,6,15,100,0.2,0.1
Saline Cavern,6,16,100,0.2,0.1
Saline Cavern,6,17,100,0.2,0.1
Saline Cavern,6,18,100,0.2,0.1
Saline Cavern,6,19,100,0.2,0.1
Saline Cavern,6,20,100,0.2,0.1
Saline Cavern,6,21,100,0.2,0.1
Saline Cavern,6,22,100,0.2,0.1
Saline Cavern,6,23,100,0.2,0.1
Saline Cavern,6,24,100,0.2,0.1
Saline Cavern,6,25,100,0.2,0.1
Saline Cavern,6,26,100,0.2,0.1
Saline Cavern,6,27,100,0.2,0.1
Saline Cavern,6,28,100,0.2,0.1
Saline Cavern,6,29,100,0.2,0.1
Saline Cavern,6,30,100,0.2,0.1
Saline Cavern,6,31,100,0.2,0.1
Saline Cavern,6,32,100,0.2,0.1
Saline Cavern,6,33,100,0.2,0.1
Saline Cavern,6,34,100,0.2,0.1
Saline Cavern,6,35,100,0.2,0.1
Saline Cavern,6,36,100,0.2,0.1
Saline Cavern,6,37,100,0.2,0.1
Saline Cavern,6,38,100,0.2,0.1
Saline Cavern,6,39,100,0.2,0.1
Saline Cavern,6,40,100,0.2,0.1
Saline Cavern,6,41,100,0.2,0.1
Saline Cavern,6,42,100,0.2,0.1
Saline Cavern,6,43,100,0.2,0.1
Saline Cavern,6,44,100,0.2,0.1
