KILN_ID,FACILITY_ID,LATITUDE,LONGITUDE,STATE,CENSUS_REGION,CENSUS_DIVISION,CENSUS_DIV_NEMS,OGSM_RG,EMM_FR,Wet/Dry Kiln,Kiln Tech,CAP_FACTOR,LB_CO2/T_CLINKER,TOTAL_CO2_EMISSIONS,flag_CO2,flag_clinkerCAP,flag_ClinkerPerCO2,flag_notPR,flag_nofuel,coal,natural gas,tires,petroleum coke,coke,distillate oil,biomass,ag products,other,CLINKER_CAPACITY_kT_YR,CCS Retrofit Costs [2011$/ton clinker],CO2 Sales Price to EOR [$/tonne],Total CO2 Capture Retrofit TOC [2011$/kT],Total Annual Fixed O&M Cost [2011$/kT],Total Annual Variable O&M Cost [2011$/kT @ Operating CF],Total Parasitic Retrofit Load [MW/kT],Total Natural Gas Requirement [GJ/kT],CCS Y/N,ID
32,1006842,35.029298,-118.316236,CA,West,"""Pacific""",9,6,23,Dry,1,0.680845457,2114.426581,1120360.8,1,1,1,1,1,0.03,0.03,0,0.92,0,0.03,0,0,0,1604.244696,79.48717472,80.30192641,305544.1465,8050.494883,4109.087404,111.4196811,2.812404631,0,1006842_1
33,1007566,39.434879,-77.977911,WV,South,"""South Atlantic""",5,1,11,Dry,1,0.847585129,1720.358145,1022659,1,1,1,1,1,0.5,0,0,0,0,0.5,0,0,0,1242.957346,59.79591952,57.93154673,324893.9042,8560.323419,4369.31116,102.4985579,2.812404632,0,1007566_1
34,1000198,39.94778,-76.76918,PA,Northeast,"""Middle Atlantic""",2,1,3,Wet,4,0.759180617,2351.159208,95070,1,1,1,1,1,0,1,0,0,0,0,0,0,0,114.5320268,133.0853972,141.1925388,797518.7321,21013.06978,10725.37051,102.498558,2.812404632,0,1000198_1
35,1000243,37.216805,-88.879849,IL,Midwest,"""East North Central""",3,1,5,0,0,0.8774118,0,0,0,1,0,1,1,0.93,0.03,0,0,0.03,0,0,0,0,210.9777865,37.26493207,38.01242324,461462.3893,12158.63778,6205.94213,102.4985579,2.812404632,0,1000243_1
36,1000243,37.216805,-88.879849,IL,Midwest,"""East North Central""",3,1,5,Dry,1,0.8774118,1926.801885,318643,1,1,1,1,1,0.93,0.03,0,0,0.03,0,0,0,0,277.0976191,48.94365481,49.92540755,461462.3894,12158.63778,6205.94213,102.4985579,2.812404631,0,1000243_2
37,1000290,43.3064,-73.6208,NY,Northeast,"""Middle Atlantic""",2,1,2,Dry,1,0.721666667,1831.116316,242199,1,1,1,1,1,0.93,0.03,0,0,0,0,0,0,0.03,263.6644191,103.4714745,107.5494475,581949.9483,15333.25097,7826.309978,102.4985579,2.812404632,0,1000290_1
38,1002308,34.6222,-117.1001,CA,West,"""Pacific""",9,6,23,Dry,3,0.81165757,2263.65824,1243273,1,1,1,1,1,0.02,0.02,0.02,0.02,0,0,0.43,0.5,0,1110.659817,44.81450452,44.712351,244588.4394,6444.430377,3289.329175,111.4196811,2.812404632,0,1002308_1
39,1002308,34.6222,-117.1001,CA,West,"""Pacific""",9,6,23,Dry,3,0.81165757,2256.521444,753945,1,1,1,1,1,0.02,0.02,0.02,0.02,0,0,0.43,0.5,0,1811.714595,27.47323973,27.41061518,244588.4393,6444.430376,3289.329173,111.419681,2.812404631,0,1002308_2
40,1004385,39.144325,-94.416723,MO,Midwest,"""West North Central""",4,3,9,Dry,3,0.730957585,2313.343077,769082,1,1,1,1,1,0.44,0.02,0.5,0,0.02,0,0,0,0.02,1110.389219,72.53467902,72.40349804,338916.4425,8929.79007,4557.892208,102.4985579,2.812404631,0,1004385_1
41,1002787,39.560284,-77.171425,MD,South,"""South Atlantic""",5,1,13,Dry,3,0.755948394,2579.834407,1836033,1,1,1,1,1,0.47,0,0,0,0,0.03,0.5,0,0,2916.273794,67.65667091,66.86180492,236213.8,6223.774894,3176.703469,102.4985579,2.812404631,0,1002787_1
