Composite table:
    i_MarketPriceCode  i_CensusDivision  i_NEMSYear    HMMBLK_PHMM(i_MarketPriceCode,i_CensusDivision,i_NEMSYear)
    3                                 6  39                                                                  2.10
    3                                 6  40                                                                  2.11
    3                                 6  41                                                                  2.11
    3                                 6  42                                                                  9.50
    3                                 7  34                                                                 76.32
    3                                 7  35                                                                 76.32
    3                                 7  36                                                                  2.10
    3                                 7  37                                                                  2.09
    3                                 7  38                                                                  2.10
    3                                 7  39                                                                  2.10
    3                                 7  40                                                                  2.11
    3                                 7  41                                                                  2.11
    3                                 7  42                                                                  9.67
    3                                 8  34                                                                 76.32
    3                                 8  35                                                                  2.08
    3                                 8  36                                                                  2.09
    3                                 8  37                                                                  2.09
    3                                 8  38                                                                  2.10
    3                                 8  39                                                                  2.10
    3                                 8  40                                                                  2.11
    3                                 8  41                                                                  2.11
    3                                 8  42                                                                  9.67
    3                                 9  34                                                                 76.32
    3                                 9  35                                                                  2.08
    3                                 9  36                                                                  2.09
    3                                 9  37                                                                  2.09
    3                                 9  38                                                                  2.10
    3                                 9  39                                                                  2.10
    3                                 9  40                                                                  2.11
    3                                 9  41                                                                  2.11
    3                                 9  42                                                                 11.52
    3                                10  34                                                                 76.32
    3                                10  35                                                                  4.86
    3                                10  36                                                                  4.93
    3                                10  37                                                                  5.00
    3                                10  38                                                                  5.08
    3                                10  39                                                                  5.16
    3                                10  40                                                                  5.25
    3                                10  41                                                                  5.32
    3                                10  42                                                                  5.41
    4                                 1  34                                                                 76.32
    4                                 1  35                                                                 76.32
    4                                 1  36                                                                 76.32
    4                                 1  37                                                                  2.09
    4                                 1  38                                                                  2.10
    4                                 1  39                                                                  2.10
    4                                 1  40                                                                  2.50
    4                                 1  41                                                                  2.11
    4                                 1  42                                                                  9.92
    4                                 2  34                                                                 76.32
    4                                 2  35                                                                  2.08
    4                                 2  36                                                                  2.09
    4                                 2  37                                                                  2.09
    4                                 2  38                                                                  2.10
    4                                 2  39                                                                  2.10
    4                                 2  40                                                                  2.11
    4                                 2  41                                                                  2.11
    4                                 2  42                                                                  9.50
    4                                 3  34                                                                 76.32
    4                                 3  35                                                                 76.32
